coral_id,date,time_point,wet_weight_g
1,2023-07-15,0,55
3,2023-07-15,0,61.7
4,2023-07-15,0,62.3
5,2023-07-15,0,75
6,2023-07-15,0,45.4
8,2023-07-15,0,68
9,2023-07-15,0,68.9
10,2023-07-15,0,66.5
11,2023-07-15,0,54.6
12,2023-07-15,0,67.3
13,2023-07-15,0,66.5
15,2023-07-15,0,59.5
16,2023-07-15,0,55.1
17,2023-07-15,0,77.5
19,2023-07-15,0,74.4
20,2023-07-15,0,63.4
21,2023-07-15,0,58.3
22,2023-07-15,0,60.9
24,2023-07-15,0,59.6
25,2023-07-15,0,51.4
27,2023-07-15,0,71.7
28,2023-07-15,0,40.7
29,2023-07-15,0,56.9
30,2023-07-15,0,46.6
31,2023-07-15,0,66
32,2023-07-15,0,55.3
33,2023-07-15,0,60.9
34,2023-07-15,0,49.4
35,2023-07-15,0,54.6
36,2023-07-15,0,51.3
38,2023-07-15,0,46.2
39,2023-07-15,0,40.6
43,2023-07-15,0,72.9
44,2023-07-15,0,51.6
45,2023-07-15,0,43.8
46,2023-07-15,0,52.5
47,2023-07-15,0,56.6
48,2023-07-15,0,40.4
49,2023-07-15,0,50.6
50,2023-07-15,0,43.1
51,2023-07-15,0,73.9
52,2023-07-15,0,97.3
53,2023-07-15,0,89.8
54,2023-07-15,0,87.7
56,2023-07-15,0,47
57,2023-07-15,0,99
59,2023-07-15,0,95.6
60,2023-07-15,0,70.9
61,2023-07-15,0,65.3
62,2023-07-15,0,96
63,2023-07-15,0,58.6
64,2023-07-15,0,80.4
65,2023-07-15,0,65.3
66,2023-07-15,0,102.5
68,2023-07-15,0,62
69,2023-07-15,0,51.5
71,2023-07-15,0,99.7
72,2023-07-15,0,58.1
74,2023-07-15,0,65.4
76,2023-07-15,0,92.5
77,2023-07-15,0,71.8
78,2023-07-15,0,63.7
79,2023-07-15,0,53.6
80,2023-07-15,0,66.5
81,2023-07-15,0,65.7
82,2023-07-15,0,45.6
83,2023-07-15,0,57.1
85,2023-07-15,0,58.4
86,2023-07-15,0,51.5
87,2023-07-15,0,48.2
88,2023-07-15,0,67
89,2023-07-15,0,83.5
91,2023-07-15,0,87.6
92,2023-07-15,0,57.9
93,2023-07-15,0,72.1
94,2023-07-15,0,67.1
97,2023-07-15,0,55.3
98,2023-07-15,0,44.3
99,2023-07-15,0,64.6
100,2023-07-15,0,51.3
101,2023-07-15,0,80
102,2023-07-15,0,71.6
104,2023-07-15,0,46.1
105,2023-07-15,0,61.6
106,2023-07-15,0,65
107,2023-07-15,0,65
109,2023-07-15,0,61.1
110,2023-07-15,0,77
111,2023-07-15,0,55.9
112,2023-07-15,0,59.3
113,2023-07-15,0,77.4
115,2023-07-15,0,84.6
116,2023-07-15,0,47.5
118,2023-07-15,0,76.2
119,2023-07-15,0,85.5
120,2023-07-15,0,68.4
121,2023-07-15,0,73.1
122,2023-07-15,0,68.4
123,2023-07-15,0,66
124,2023-07-15,0,56.3
125,2023-07-15,0,81.6
127,2023-07-15,0,80.9
129,2023-07-15,0,60.9
130,2023-07-15,0,50.1
131,2023-07-15,0,65
132,2023-07-15,0,41.2
134,2023-07-15,0,52.5
136,2023-07-15,0,62.2
137,2023-07-15,0,46.2
138,2023-07-15,0,41.8
139,2023-07-15,0,50.4
140,2023-07-15,0,55.8
141,2023-07-15,0,61.2
142,2023-07-15,0,52.1
143,2023-07-15,0,67.4
144,2023-07-15,0,64
145,2023-07-15,0,46
146,2023-07-15,0,49.4
147,2023-07-15,0,49.4
150,2023-07-15,0,62.2
1,2023-11-01,1,59.1
3,2023-11-01,1,80.5
4,2023-11-01,1,65.2
5,2023-11-01,1,98
6,2023-11-01,1,57.5
8,2023-11-01,1,83.5
9,2023-11-01,1,89.5
10,2023-11-01,1,81.3
11,2023-11-01,1,62.3
12,2023-11-01,1,68
13,2023-11-01,1,77.7
15,2023-11-01,1,67.6
16,2023-11-01,1,64.5
17,2023-11-01,1,83.3
19,2023-11-01,1,92.1
20,2023-11-01,1,78.4
21,2023-11-01,1,74.1
22,2023-11-01,1,75.2
24,2023-11-01,1,76.3
25,2023-11-01,1,61.3
27,2023-11-01,1,88.8
28,2023-11-01,1,48.9
29,2023-11-01,1,62.1
30,2023-11-01,1,49.9
31,2023-11-01,1,78.4
32,2023-11-01,1,57.8
33,2023-11-01,1,68.7
34,2023-11-01,1,53.2
35,2023-11-01,1,65.3
36,2023-11-01,1,58.6
38,2023-11-01,1,52.1
39,2023-11-01,1,44.3
43,2023-11-01,1,78
44,2023-11-01,1,52.9
45,2023-11-01,1,45.3
46,2023-11-01,1,55.4
47,2023-11-01,1,59.5
48,2023-11-01,1,41.1
49,2023-11-01,1,52.5
50,2023-11-01,1,44.2
51,2023-11-01,1,98
52,2023-11-01,1,141.6
53,2023-11-01,1,126
54,2023-11-01,1,115.6
56,2023-11-01,1,63
57,2023-11-01,1,135.2
59,2023-11-01,1,128.1
60,2023-11-01,1,95.1
61,2023-11-01,1,73.1
62,2023-11-01,1,119.4
63,2023-11-01,1,61.9
64,2023-11-01,1,98.1
65,2023-11-01,1,77.7
66,2023-11-01,1,146.8
68,2023-11-01,1,67.8
69,2023-11-01,1,57.2
71,2023-11-01,1,127.3
72,2023-11-01,1,60.5
74,2023-11-01,1,89.1
76,2023-11-01,1,114
77,2023-11-01,1,90
78,2023-11-01,1,71.2
79,2023-11-01,1,64.4
80,2023-11-01,1,87.6
81,2023-11-01,1,80.5
82,2023-11-01,1,51.8
83,2023-11-01,1,64.5
85,2023-11-01,1,80.4
86,2023-11-01,1,67
87,2023-11-01,1,50.8
88,2023-11-01,1,97.8
89,2023-11-01,1,112
91,2023-11-01,1,106.9
92,2023-11-01,1,64.1
93,2023-11-01,1,82.8
94,2023-11-01,1,74.8
97,2023-11-01,1,62
98,2023-11-01,1,47
99,2023-11-01,1,74.5
100,2023-11-01,1,58.1
101,2023-11-01,1,99.1
102,2023-11-01,1,98.3
104,2023-11-01,1,50.6
105,2023-11-01,1,62.1
106,2023-11-01,1,70.4
107,2023-11-01,1,73.3
109,2023-11-01,1,70.9
110,2023-11-01,1,79.1
111,2023-11-01,1,61
112,2023-11-01,1,60.9
113,2023-11-01,1,86.8
115,2023-11-01,1,102.7
116,2023-11-01,1,49.3
118,2023-11-01,1,83.8
119,2023-11-01,1,103.8
120,2023-11-01,1,74.6
121,2023-11-01,1,86.7
122,2023-11-01,1,78.1
123,2023-11-01,1,71.3
124,2023-11-01,1,68.7
125,2023-11-01,1,94.6
127,2023-11-01,1,95.2
129,2023-11-01,1,82.2
130,2023-11-01,1,56.1
131,2023-11-01,1,79.8
132,2023-11-01,1,51.8
134,2023-11-01,1,58.2
136,2023-11-01,1,66.7
137,2023-11-01,1,49.9
138,2023-11-01,1,50.8
139,2023-11-01,1,61.4
140,2023-11-01,1,70.6
141,2023-11-01,1,69.3
142,2023-11-01,1,56.8
143,2023-11-01,1,70.5
144,2023-11-01,1,70.3
145,2023-11-01,1,47.8
146,2023-11-01,1,53.5
147,2023-11-01,1,51.8
150,2023-11-01,1,63.9
