coral_id,tissue_cover_3mo,tissue_cover_postmicrobe,tissue_cover_9mo,notes
1,0,0,0,NA
3,100,100,100,NA
4,0,0,0,NA
5,100,100,0,NA
6,100,100,0,NA
8,100,100,10,NA
9,100,100,0,NA
10,100,100,0,NA
11,100,100,95,NA
12,100,100,95,NA
13,100,100,100,NA
15,100,100,100,NA
16,100,100,95,NA
17,95,95,95,NA
19,100,95,50,NA
20,100,100,100,NA
21,100,100,100,NA
22,0,0,0,NA
24,0,0,0,NA
25,100,100,95,NA
27,100,100,60,NA
28,100,100,100,NA
29,95,90,0,NA
30,0,0,0,NA
31,100,100,100,NA
32,100,100,0,NA
33,100,100,100,NA
34,100,100,100,NA
35,100,100,100,NA
36,100,100,100,NA
38,100,100,0,NA
39,100,100,100,NA
43,100,100,100,NA
44,100,100,0,NA
45,95,95,90,NA
46,100,100,100,NA
47,100,100,100,NA
48,100,100,100,NA
49,95,95,100,NA
50,100,100,100,NA
51,100,100,100,NA
52,100,100,100,NA
53,100,100,100,NA
54,100,100,100,NA
56,100,100,100,NA
57,100,100,95,NA
59,100,100,75,NA
60,100,100,100,NA
61,100,100,0,NA
62,100,100,0,NA
63,0,0,0,NA
64,90,85,60,NA
65,100,100,100,NA
66,100,100,100,NA
68,90,90,60,NA
69,100,100,100,NA
71,100,100,90,NA
72,90,90,85,NA
74,100,100,95,NA
76,100,100,0,NA
77,100,100,20,NA
78,100,100,0,NA
79,100,100,100,NA
80,95,95,0,NA
81,50,25,0,NA
82,0,0,0,NA
83,0,0,0,NA
85,100,100,100,NA
86,100,100,NA,missing in spring
87,100,100,0,NA
88,100,100,100,NA
89,100,100,100,NA
91,100,100,95,NA
92,100,100,100,NA
93,100,100,75,NA
94,100,100,100,NA
97,95,95,60,NA
98,100,100,95,NA
99,95,95,100,NA
100,100,100,100,NA
101,100,100,100,NA
102,0,0,0,NA
104,100,100,100,NA
105,0,0,0,NA
106,100,100,100,NA
107,100,100,100,NA
109,100,100,100,NA
110,0,0,0,NA
111,100,100,100,NA
112,0,0,0,NA
113,100,100,95,NA
115,100,100,95,NA
116,95,95,100,NA
118,100,NA,NA,broken off during sampling
119,100,100,100,NA
120,0,0,0,NA
121,100,100,0,NA
122,100,100,0,NA
123,50,20,0,NA
124,100,100,95,NA
125,100,100,95,NA
127,100,100,95,NA
129,100,100,95,NA
130,100,100,0,NA
131,100,100,100,NA
132,100,100,100,NA
134,100,100,100,NA
136,100,100,100,NA
137,100,NA,NA,broken off during sampling
138,100,100,95,NA
139,100,100,100,NA
140,100,100,95,NA
141,100,100,100,NA
142,0,0,0,NA
143,0,0,0,NA
144,100,100,50,NA
145,0,0,0,NA
146,100,100,100,NA
147,50,50,10,NA
150,0,0,0,NA
