coral_id,size_mm2
1,161.1
4,242.09
8,246.19
9,111.91
13,57.91
15,200.15
16,183.46
17,47.05
21,147.36
24,92.59
27,64.4
30,125.05
31,54.07
32,133.61
34,182.1
35,143.34
45,192.83
47,140.32
48,95.7
50,131.33
52,53.67
54,92.78
56,120.53
59,165.32
62,123.4
63,143.94
65,158.31
69,133.81
71,186.36
72,50.7
77,117.34
78,168.1
81,104.6
82,124.64
83,113.45
89,92.87
91,169.95
93,265.59
94,166.06
100,147.08
104,218.38
105,125.63
107,109.95
110,185.86
111,112.05
113,95.15
116,124.79
118,110.49
121,133.8
122,100.24
125,194.75
129,85.69
131,124.68
134,84.37
136,68.7
137,111.39
141,135.41
144,93.83
145,100.84
146,273.02
